epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6993,0.40001,0.30303,1.06444,0.81656,0,0.00727,1,0.98263,0.91709,0.00703,0.96667,0.91693,0.40253,0.30072,31.4732,2.42788,0.78687,0,0.00032381,0.00032381,0.0679429
2,72.3005,0.38425,0.20484,0.56684,0.80805,0,0.99514,1,0.995,0.91034,0.99514,1,0.995,0.86323,0.39891,1.70654,0.84789,0.80235,0,0.000641222,0.000641222,0.0349269
3,110.545,0.36648,0.20319,0.49515,0.80211,0,0.99808,1,0.995,0.94098,0.99808,1,0.995,0.9852,0.34829,0.24777,0.5445,0.79344,0,0.00089684,0.00089684,0.00184922
4,147.264,0.3922,0.1877,0.49531,0.79859,0,0.9982,1,0.995,0.95812,0.9982,1,0.995,0.995,0.28619,0.22517,0.45213,0.77781,0,0.000795954,0.000795954,0.000795954
5,184.515,0.33782,0.18631,0.46005,0.79303,0,0.99797,1,0.995,0.96224,0.99797,1,0.995,0.995,0.29858,0.15661,0.47708,0.77799,0,0.000657963,0.000657963,0.000657963
6,221.571,0.30446,0.17864,0.43072,0.78039,0,0.99767,1,0.995,0.98977,0.99767,1,0.995,0.995,0.24451,0.16087,0.39089,0.77061,0,0.000505,0.000505,0.000505
7,258.666,0.31302,0.18002,0.41665,0.78286,0,0.99779,1,0.995,0.99157,0.99779,1,0.995,0.995,0.20601,0.1642,0.35445,0.76307,0,0.000352037,0.000352037,0.000352037
8,296.029,0.27559,0.1864,0.40077,0.77626,0,0.99805,1,0.995,0.99043,0.99805,1,0.995,0.995,0.19569,0.16325,0.34007,0.76272,0,0.000214046,0.000214046,0.000214046
9,334.014,0.2456,0.17325,0.36878,0.77579,0,0.99832,1,0.995,0.99023,0.99832,1,0.995,0.995,0.17843,0.1536,0.32583,0.76107,0,0.000104537,0.000104537,0.000104537
10,371.528,0.23892,0.17013,0.34919,0.76226,0,0.99831,1,0.995,0.99023,0.99831,1,0.995,0.995,0.17546,0.15126,0.32465,0.76073,0,3.4227e-05,3.4227e-05,3.4227e-05
