epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0651,0.35609,0.27131,1.07293,0.78926,0,0.00695,0.96667,0.88315,0.7752,0.00695,0.96667,0.88315,0.62564,0.65112,4.15782,2.65617,1.03004,0,0.00032381,0.00032381,0.0679429
2,83.3837,0.41489,0.21044,0.5775,0.80262,0,0.99411,1,0.995,0.92938,0.99411,1,0.995,0.79081,0.38694,1.78155,1.43886,0.8021,0,0.000655361,0.000655361,0.0349411
3,121.313,0.40134,0.23334,0.53038,0.79634,0,0.9968,1,0.995,0.9307,0.9968,1,0.995,0.75396,0.33592,1.50254,0.5017,0.78215,0,0.000979762,0.000979762,0.00193214
4,158.333,0.42413,0.2172,0.51534,0.81853,0,0.99826,1,0.995,0.9538,0.99826,1,0.995,0.995,0.32903,0.34889,0.4638,0.78363,0,0.000975773,0.000975773,0.000975773
5,195.686,0.39026,0.20013,0.49094,0.8,0,0.99829,1,0.995,0.90734,0.99829,1,0.995,0.97057,0.34162,0.1989,0.50091,0.78258,0,0.000957205,0.000957205,0.000957205
6,236.953,0.36399,0.18218,0.46298,0.79502,0,0.99802,1,0.995,0.9787,0.99802,1,0.995,0.99123,0.27374,0.17637,0.42344,0.77672,0,0.000933683,0.000933683,0.000933683
7,277.265,0.3537,0.1921,0.44279,0.81536,0,0.99775,1,0.995,0.95344,0.99775,1,0.995,0.98913,0.29887,0.19381,0.40812,0.78053,0,0.000905463,0.000905463,0.000905463
8,320.302,0.33365,0.17765,0.42107,0.79527,0,0.99813,1,0.995,0.97742,0.99813,1,0.995,0.995,0.2598,0.14721,0.38796,0.77382,0,0.000872857,0.000872857,0.000872857
9,364.439,0.32138,0.18698,0.40912,0.79302,0,0.99821,1,0.995,0.97619,0.99821,1,0.995,0.995,0.27173,0.15152,0.35287,0.77515,0,0.00083622,0.00083622,0.00083622
10,407.213,0.3053,0.16423,0.4006,0.78057,0,0.99814,1,0.995,0.983,0.99814,1,0.995,0.995,0.24509,0.16905,0.36134,0.76889,0,0.000795954,0.000795954,0.000795954
11,447.104,0.30777,0.178,0.38448,0.75754,0,0.99829,1,0.995,0.97847,0.99829,1,0.995,0.995,0.2276,0.1576,0.34551,0.7648,0,0.0007525,0.0007525,0.0007525
12,484.253,0.30504,0.17118,0.37932,0.76197,0,0.99826,1,0.995,0.96834,0.99826,1,0.995,0.99384,0.25351,0.15455,0.3304,0.77065,0,0.000706335,0.000706335,0.000706335
13,521.157,0.31528,0.17037,0.37912,0.77613,0,0.99825,1,0.995,0.98756,0.99825,1,0.995,0.995,0.2456,0.16082,0.32216,0.77147,0,0.000657963,0.000657963,0.000657963
14,558.338,0.29016,0.1707,0.36499,0.78585,0,0.99827,1,0.995,0.98229,0.99827,1,0.995,0.995,0.23241,0.1524,0.31573,0.76896,0,0.000607916,0.000607916,0.000607916
15,595.366,0.2982,0.16826,0.35367,0.79364,0,0.9982,1,0.995,0.97823,0.9982,1,0.995,0.995,0.23595,0.15448,0.33742,0.76745,0,0.000556742,0.000556742,0.000556742
16,632.588,0.28258,0.17127,0.34124,0.76687,0,0.99838,1,0.995,0.98468,0.99838,1,0.995,0.995,0.22378,0.15328,0.32344,0.76507,0,0.000505,0.000505,0.000505
17,669.846,0.26373,0.17239,0.34922,0.77281,0,0.99826,1,0.995,0.98886,0.99826,1,0.995,0.99171,0.2123,0.1598,0.30326,0.7622,0,0.000453258,0.000453258,0.000453258
18,707.003,0.23309,0.16455,0.32734,0.79462,0,0.99822,1,0.995,0.99177,0.99822,1,0.995,0.99098,0.19383,0.15363,0.27918,0.76174,0,0.000402084,0.000402084,0.000402084
19,744.667,0.24404,0.16348,0.32593,0.7722,0,0.99823,1,0.995,0.98557,0.99823,1,0.995,0.99468,0.19551,0.14493,0.26425,0.76172,0,0.000352037,0.000352037,0.000352037
20,781.948,0.23639,0.16683,0.30852,0.76307,0,0.99823,1,0.995,0.98239,0.99823,1,0.995,0.995,0.19228,0.14593,0.24866,0.76321,0,0.000303665,0.000303665,0.000303665
21,818.96,0.2383,0.16456,0.29627,0.76638,0,0.99828,1,0.995,0.98221,0.99828,1,0.995,0.995,0.18479,0.15113,0.24194,0.76189,0,0.0002575,0.0002575,0.0002575
22,856.098,0.22129,0.16133,0.28913,0.78719,0,0.9983,1,0.995,0.995,0.9983,1,0.995,0.995,0.1617,0.16522,0.22901,0.75901,0,0.000214046,0.000214046,0.000214046
